Model,Setting,Training_Samples,Accuracy,Timestamp
N-Gram (No Backoff) Model,N=3,200000,0.3893488004218297,2026-03-19 03:06:04
Backoff N-Gram Model,Max N=3,200000,0.5191247034010018,2026-03-19 03:06:04
N-Gram (No Backoff) Model,N=4,200000,0.23158449775902978,2026-03-19 03:00:36
Backoff N-Gram Model,Max N=4,200000,0.5260532559978909,2026-03-19 03:00:36
N-Gram (No Backoff) Model,N=5,200000,0.1204956498813604,2026-03-19 03:03:01
Backoff N-Gram Model,Max N=5,200000,0.5270340100184551,2026-03-19 03:03:01

N-Gram (No Backoff) Model,N=3,200000,0.3893488004218297,2026-03-19 03:08:52
Backoff N-Gram Model,Max N=3,200000,0.5191247034010018,2026-03-19 03:08:52
